"Read Details",Подробнее
"Mark as Read",Прочитано
"Are you sure?","Вы уверены?"
Remove,Удалить
"Messages Inbox","Входящие сообщения"
"You have %1 new system messages","У вас %1 новых системных сообщений"
"You have %1 new system message","У вас %1 новое системное сообщение"
"Incoming Message","Входящее сообщение"
close,закрыть
Notifications,Уведомления
"The message has been marked as Read.","Сообщение помечено как прочитанное."
"We couldn't mark the notification as Read because of an error.","Не удалось пометить уведомление как прочитанное из-за ошибки."
"Please select messages.","Пожалуйста, выберите сообщения."
"A total of %1 record(s) have been marked as Read.","%1 записей помечены как прочитанные."
"Total of %1 record(s) have been removed.","%1 записей удалено."
"We couldn't remove the messages because of an error.","Не удалось удалить сообщения из-за ошибки."
"The message has been removed.","Сообщение удалено."
"1 Hour","1 час"
"2 Hours","2 часа"
"6 Hours","6 часов"
"12 Hours","12 часов"
"24 Hours","24 часа"
critical,критично
major,важно
minor,обычно
notice,уведом.
"Wrong message type","Неверный тип сообщения"
"Wrong notification ID specified.","Указан неправильный ИД уведомления."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","На рабочем сайте не рекомендуется использовать {{base_url}} в значениях параметров Базовый небезопасный URL / Базовый безопасный URL. Мы очень рекомендуем изменить это значение в <a href=""%1"">конфигурации</a> вашего Magento сайта."
"One or more of the Cache Types are invalidated: %1. ","Один или несколько типов кэша недействительны: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Пожалуйста, перейдите в <a href=""%1"">Управление кэшем</a> и обновите нужные типы кэша."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Мы не смогли синхронизировать один или несколько медиа файлов. Подробности в лог файле."
"Synchronization of media storages has been completed.","Синхронизация медиа хранилищ завершена."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш веб-сервер настроен неправильно и разрешает несанкционированный доступ к конфиденциальным файлам. Пожалуйста, обратитесь к персоналу, ответственному за настройку вашего хостинга."
"Close popup","Закрыть окно"
Close,закрыть
"System Messages:","Системные сообщения:"
"Critical System Messages","Критичные системные сообщения"
"Major System Messages","Важные системные сообщения"
"System messages","Системные сообщения"
"See All (","Просмотреть все ("
" unread)"," не прочитано)"
"Show Toolbar","Показать панель инструментов"
"Show List","Показать список"
"Use HTTPS to Get Feed","Использовать HTTPS для получения сообщений"
"Update Frequency","Периодичность обновлений"
"Last Update","Последнее обновление"
Severity,Важность
"Date Added","Дата добавления"
Message,сообщение
Actions,Действия
"Please correct the data sent.","Пожалуйста, исправьте отсылаемые данные."
"Entity type model \'%1\' is not found","Модель типа сущности \'%1\' не найдена"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Модель типа сущности должна быть экземпляром класса \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Нет типов товара, доступных для экспорта"
"We can\'t find the role for the user you wanted.","Мы не можем найти указанную вами роль для пользователя."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Что-то пошло не так во время составления списка разрешенных ресурсов. Вы можете узнать подробности в журнале исключений (exceptions log)."
"You created the order.","Вы создали заказ."
"Order saving error: %1","Ошибка при сохранении заказа: %1"
"Please choose a payment method.","Пожалуйста, выберите метод оплаты."
"We can\'t process your order right now. Please try again later.","Мы не можем обработать ваш заказ в данный момент. Пожалуйста, повторите попытку позже."
"An error occurred on the server. Please try to place the order again.","Произошла ошибка на сервере. Пожалуйста, попробуйте разместить заказ позже."
"Credit Card: xxxx-%1","Кредитная карта: xxxx-%1"
"amount %1","сумма %1"
failed.,неудачно.
successful.,успешно.
"Authorize.Net Transaction ID %1.","Authorize.Net ИД транзакции %1."
authorize,авторизовать
"authorize and capture","авторизовать и снять"
capture,снять
refund,возврат
void,Аннулировать
"Gateway error: %1","Ошибка шлюза: %1"
"Something went wrong in the payment gateway.","Что-то пошло не так на платёжном шлюзе."
"Invalid amount for capture.","Неверная сумма для снятия."
"Payment capturing error.","Ошибка при снятии суммы."
"Invalid transaction ID.","Неправильный ИД транзакции."
"Payment voiding error.","Ошибка аннулирования платежа."
"Invalid amount for refund.","Неверная сумма для возврата."
"Payment refunding error.","Ошибка возврата платежа."
"The transaction was declined because the response hash validation failed.","Транзакция была отклонена, поскольку не удалось проверить хэш."
"This payment didn\'t work out because we can\'t find this order.","Транзакция была отклонена, поскольку не найден заказ."
"There was a payment authorization error.","Возникла ошибка авторизации платежа."
